English,6,Imagery,"Define the terms imagery, description, detail, and sensory language.",CCSS.ELA-LITERACY.W.6.3.D,"Identify, explain the effects of, and give examples of  imagery, description, detail, and sensory language.",CCSS.ELA-LITERACY.W.6.3.D,,,,,,,additional,,,,,,,,,,,,
English,6,Genre,Define and identify examples of genre.,CCSS.ELA-LITERACY.RL.6.9,Define and identify examples of fiction.,CCSS.ELA-LITERACY.RL.6.9,"Define and identify examples of the following fiction genres: fantasy, science fiction, historical, realistic, comedy, thriller.",CCSS.ELA-LITERACY.RL.6.9,Define and identify examples of non-fiction.,CCSS.ELA-LITERACY.RL.6.9,"Define and identify examples of the following non-fiction genres: article, memoir, biography/autobiography, essay, speech, textbook.",CCSS.ELA-LITERACY.RL.6.9,additional,,,,,,,,,,,,
English,6,Types of evidence 6,"Define terms: quotations, opinions, facts, statistics, stories, and propaganda.",CCSS.ELA-LITERACY.RI.6.1,"Identify and explain uses of quotations, opinions, facts, statistics, stories, and propaganda.",CCSS.ELA-LITERACY.RI.6.1,Comprehend and analyze the development of evidence. Evaluate the strength of selected evidence.,CCSS.ELA-LITERACY.RI.6.1,,,,,additional,,,,,,,,,,,,
English,6,Reading strategies 6,"Define and give examples of the following terms: tellback, predict, summarize, annotate, make inferences, ask questions, chunk, SOAPSTone, dialectical journal, and T-chart",CCSS.ELA-LITERACY.RL.6.10,"Identify appropriate strategies to use in a text AND explain the effect those strategies have on the readers' understanding of characters' actions, motivations, and personalities.",CCSS.ELA-LITERACY.RL.6.10,,,,,,,power,,,,,,,,,,,,
English,6,Mechanics 6,Identify capitalization and spelling rules,CCSS.ELA-LITERACY.L.6.2,Practice correcting capitalization and spelling errors,CCSS.ELA-LITERACY.L.6.2,,,,,,,power,,,,,,,,,,,,
English,6,Plot,"Define the terms setting, exposition, rising action, climax, falling action, and resolution/denouement.",CCSS.ELA-LITERACY.RL.6.3,"Recognize and identify setting, exposition, rising action, climax, falling action, and resolution/denouement within a short story.",CCSS.ELA-LITERACY.RL.6.3,Analyze how characters respond or change as the plot progresses.,CCSS.ELA-LITERACY.RL.6.3,,,,,power,,,,,,,,,,,,
English,6,Point of view 6,Define the different types of point of view used by authors,CCSS.ELA-LITERACY.RL.6.6,Identify how an author develops or conveys point of view in fictional and nonfictional texts.,CCSS.ELA-LITERACY.RL.6.6,,,,,,,power,,,,,,,,,,,,
English,6,Punctuation 6,Use commas to set off nonessential information in a sentence,CCSS.ELA-LITERACY.L.6.2.A,Use dashes to set off nonessential information in a sentence,CCSS.ELA-LITERACY.L.6.2.A,Use parentheses to set off nonessential information in a sentence,CCSS.ELA-LITERACY.L.6.2.A,,,,,power,,,,,,,,,,,,
English,6,Parts of Speech 6,Define the case of a pronoun and identify its usage in a sentence,CCSS.ELA-LITERACY.L.6.1.A-E,Define and use intensive pronouns,CCSS.ELA-LITERACY.L.6.1.A-E,Recognize and correct inappropriate shifts in pronoun number/person,CCSS.ELA-LITERACY.L.6.1.A-E,Recognize and correct vague pronouns,CCSS.ELA-LITERACY.L.6.1.A-E,,,power,,,,,,,,,,,,
English,6,Argument Writing 6,"Define: introductory paragraph, body paragraph, concluding paragraph, thesis, topic sentence, claim, evidence, commentary/ analysis, quotation, context, transition.",CCSS.ELA-LITERACY.W.6.1.A-E,"Identify and give examples: introductory paragraph, body paragraph, concluding paragraph, thesis, topic sentence, evidence, commentary/ analysis, quotation, context, transition",CCSS.ELA-LITERACY.W.6.1.A-E,Identify and choose credible sources for an essay.,CCSS.ELA-LITERACY.W.6.1.B,Identify a formal style. Correct writing to mantain a formal style. ,CCSS.ELA-LITERACY.W.6.1.D,,,power,,,,,,,,,,,,
